"","Year","catch.1","catch.2","catch.3","catch.4","catch.5","catch.6","catch.7","catch.8","SER.1","SER.2","SER.3","SER.4","SER.5","SER.6","SER.7","SER.8","R.1","R.2","R.3","R.4","R.5","R.6","R.7","R.8","SSB.1","SSB.2","SSB.3","SSB.4","SSB.5","SSB.6","SSB.7","SSB.8"
"1",2024,1300,850,1000,1150,1300,1450,1600,10,0.153525,0.100653,0.118311,0.135935,0.153525,0.171079,0.188596,0.00118963,30286,30286,30286,30286,30286,30286,30286,30286,2855.6,2909.92,2892.13,2874.03,2855.6,2836.82,2817.68,3004.11
"2",2025,1194.7,839.203,964.301,1082.77,1194.7,1300.23,1399.45,11.2019,0.147021,0.0992127,0.115517,0.131454,0.147021,0.162217,0.17704,0.00123356,30036.7,30101.8,30081.6,30060,30036.7,30011.8,29985,30190.2,2614.53,2831.17,2758.26,2686.04,2614.53,2543.74,2473.67,3252.03
"3",2026,1094.82,803.33,909.412,1006.38,1094.82,1175.29,1248.35,11.718,0.124182,0.0857735,0.0990915,0.11189,0.124182,0.135982,0.147308,0.00111403,29614.1,30004,29893.1,29763.2,29614.1,29445.4,29257.1,30286,2610.68,2931.04,2820.38,2713.63,2610.68,2511.44,2415.81,3627.39
"4",2027,1119.81,836.009,940.256,1034.52,1119.81,1197.03,1267.04,12.8105,0.113676,0.0790982,0.0911107,0.102624,0.113676,0.124303,0.134545,0.00105163,29605.4,30124.2,29988.8,29815.3,29605.4,29361.3,29085,30103.9,2896.74,3283.56,3147.53,3018.72,2896.74,2781.21,2671.74,4199.13
"5",2028,1234.64,929.225,1041.7,1143.06,1234.64,1317.56,1392.83,14.6817,0.115514,0.0803952,0.0925465,0.104234,0.115514,0.126441,0.137066,0.00108317,30087,30284.9,30268.6,30201.2,30087,29930.2,29735.1,29237.4,3221.6,3669.62,3510.7,3361.63,3221.6,3089.85,2965.67,4785.39
"6",2029,1300,850,1000,1150,1300,1450,1600,10,0.153525,0.100653,0.118311,0.135935,0.153525,0.171079,0.188596,0.00118963,30286,30286,30286,30286,30286,30286,30286,30286,2855.6,2909.92,2892.13,2874.03,2855.6,2836.82,2817.68,3004.11
"7",2030,1194.7,839.203,964.301,1082.77,1194.7,1300.23,1399.45,11.2019,0.147021,0.0992127,0.115517,0.131454,0.147021,0.162217,0.17704,0.00123356,30036.7,30101.8,30081.6,30060,30036.7,30011.8,29985,30190.2,2614.53,2831.17,2758.26,2686.04,2614.53,2543.74,2473.67,3252.03
"8",2031,1094.82,803.33,909.412,1006.38,1094.82,1175.29,1248.35,11.718,0.124182,0.0857735,0.0990915,0.11189,0.124182,0.135982,0.147308,0.00111403,29614.1,30004,29893.1,29763.2,29614.1,29445.4,29257.1,30286,2610.68,2931.04,2820.38,2713.63,2610.68,2511.44,2415.81,3627.39
"9",2032,1119.81,836.009,940.256,1034.52,1119.81,1197.03,1267.04,12.8105,0.113676,0.0790982,0.0911107,0.102624,0.113676,0.124303,0.134545,0.00105163,29605.4,30124.2,29988.8,29815.3,29605.4,29361.3,29085,30103.9,2896.74,3283.56,3147.53,3018.72,2896.74,2781.21,2671.74,4199.13
"10",2033,1234.64,929.225,1041.7,1143.06,1234.64,1317.56,1392.83,14.6817,0.115514,0.0803952,0.0925465,0.104234,0.115514,0.126441,0.137066,0.00108317,30087,30284.9,30268.6,30201.2,30087,29930.2,29735.1,29237.4,3221.6,3669.62,3510.7,3361.63,3221.6,3089.85,2965.67,4785.39
"11",2034,1300,850,1000,1150,1300,1450,1600,10,0.153525,0.100653,0.118311,0.135935,0.153525,0.171079,0.188596,0.00118963,30286,30286,30286,30286,30286,30286,30286,30286,2855.6,2909.92,2892.13,2874.03,2855.6,2836.82,2817.68,3004.11
"12",2035,1194.7,839.203,964.301,1082.77,1194.7,1300.23,1399.45,11.2019,0.147021,0.0992127,0.115517,0.131454,0.147021,0.162217,0.17704,0.00123356,30036.7,30101.8,30081.6,30060,30036.7,30011.8,29985,30190.2,2614.53,2831.17,2758.26,2686.04,2614.53,2543.74,2473.67,3252.03
"13",2036,1094.82,803.33,909.412,1006.38,1094.82,1175.29,1248.35,11.718,0.124182,0.0857735,0.0990915,0.11189,0.124182,0.135982,0.147308,0.00111403,29614.1,30004,29893.1,29763.2,29614.1,29445.4,29257.1,30286,2610.68,2931.04,2820.38,2713.63,2610.68,2511.44,2415.81,3627.39
"14",2037,1119.81,836.009,940.256,1034.52,1119.81,1197.03,1267.04,12.8105,0.113676,0.0790982,0.0911107,0.102624,0.113676,0.124303,0.134545,0.00105163,29605.4,30124.2,29988.8,29815.3,29605.4,29361.3,29085,30103.9,2896.74,3283.56,3147.53,3018.72,2896.74,2781.21,2671.74,4199.13
"15",2038,1234.64,929.225,1041.7,1143.06,1234.64,1317.56,1392.83,14.6817,0.115514,0.0803952,0.0925465,0.104234,0.115514,0.126441,0.137066,0.00108317,30087,30284.9,30268.6,30201.2,30087,29930.2,29735.1,29237.4,3221.6,3669.62,3510.7,3361.63,3221.6,3089.85,2965.67,4785.39
